"","date_dt","total_cases","new_case","total_deaths","new_deaths","total_persons_tested","new_persons_tested"
"1",2020-06-28,95853,37,3112,1,1089044,73
"2",2020-06-27,95816,116,3111,3,1088971,1035
"3",2020-06-26,95700,1198,3108,5,1087936,12839
"4",2020-06-25,94502,2178,3103,14,1075097,17965
"5",2020-06-24,92324,1879,3089,23,1057132,14942
"6",2020-06-23,90445,2038,3066,13,1042190,18927
"7",2020-06-22,88407,1904,3053,20,1023263,19334
"8",2020-06-21,86503,776,3033,22,1003929,5587
"9",2020-06-20,85727,1460,3011,26,998342,11070
"10",2020-06-19,84267,1903,2985,30,987272,17091
"11",2020-06-18,82364,2040,2955,19,970181,16483
"12",2020-06-17,80324,2062,2936,37,953698,17052
"13",2020-06-16,78262,1767,2899,22,936646,17792
"14",2020-06-15,76495,1915,2877,29,918854,18716
"15",2020-06-14,74580,556,2848,23,900138,4973
"16",2020-06-13,74024,1120,2825,23,895165,11341
"17",2020-06-12,72904,1406,2802,32,883824,17463
"18",2020-06-11,71498,1443,2770,24,866361,16816
"19",2020-06-10,70055,1556,2746,27,849545,18038
"20",2020-06-09,68499,1491,2719,34,831507,20236
"21",2020-06-08,67008,1720,2685,35,811271,19045
"22",2020-06-07,65288,541,2650,32,792226,4826
"23",2020-06-06,64747,1108,2618,34,787400,15175
"24",2020-06-05,63639,1455,2584,33,772225,19069
"25",2020-06-04,62184,1706,2551,44,753156,15941
"26",2020-06-03,60478,1419,2507,44,737215,15609
"27",2020-06-02,59059,1446,2463,27,721606,13873
"28",2020-06-01,57613,1056,2436,33,707733,12266
"29",2020-05-31,56557,392,2403,30,695467,4026
"30",2020-05-30,56165,922,2373,35,691441,11666
"31",2020-05-29,55243,1464,2338,33,679775,17812
"32",2020-05-28,53779,1546,2305,30,661963,17602
"33",2020-05-27,52233,1421,2275,45,644361,19206
"34",2020-05-26,50812,1759,2230,40,625155,20767
"35",2020-05-25,49053,503,2190,28,604388,4107
"36",2020-05-24,48550,392,2162,36,600281,4213
"37",2020-05-23,48158,736,2126,36,596068,12877
"38",2020-05-22,47422,971,2090,42,583191,18776
"39",2020-05-21,46451,952,2048,26,564415,17228
"40",2020-05-20,45499,1109,2022,26,547187,18919
"41",2020-05-19,44390,942,1996,45,528268,18552
"42",2020-05-18,43448,946,1951,43,509716,18946
"43",2020-05-17,42502,348,1908,35,490770,4768
"44",2020-05-16,42154,680,1873,52,486002,13956
"45",2020-05-15,41474,1125,1821,42,472046,21924
"46",2020-05-14,40349,1198,1779,31,450122,19943
"47",2020-05-13,39151,802,1748,38,430179,20398
"48",2020-05-12,38349,935,1710,47,409781,19832
"49",2020-05-11,37414,1031,1663,28,389949,17495
"50",2020-05-10,36383,469,1635,31,372454,4632
"51",2020-05-09,35914,645,1604,47,367822,13162
"52",2020-05-08,35269,943,1557,48,354660,17761
"53",2020-05-07,34326,912,1509,50,336899,19517
"54",2020-05-06,33414,969,1459,53,317382,20966
"55",2020-05-05,32445,1230,1406,35,296416,18085
"56",2020-05-04,31215,874,1371,42,278331,17394
"57",2020-05-03,30341,456,1329,44,260937,5874
"58",2020-05-02,29885,703,1285,49,255063,14166
"59",2020-05-01,29182,882,1236,36,240897,18266
"60",2020-04-30,28300,894,1200,45,222631,17691
"61",2020-04-29,27406,974,1155,42,204940,11840
"62",2020-04-28,26432,955,1113,53,193100,11470
"63",2020-04-27,25477,1059,1060,37,181630,11133
"64",2020-04-26,24418,591,1023,41,170497,3902
"65",2020-04-25,23827,889,982,39,166595,9232
"66",2020-04-24,22938,1005,943,44,157363,9111
"67",2020-04-23,21933,980,899,50,148252,6543
"68",2020-04-22,20953,783,849,46,141709,6984
"69",2020-04-21,20170,887,803,40,134725,8537
"70",2020-04-20,19283,941,763,48,126188,6359
"71",2020-04-19,18342,476,715,36,119829,3000
"72",2020-04-18,17866,605,679,38,116829,5495
"73",2020-04-17,17261,818,641,39,111334,7106
"74",2020-04-16,16443,760,602,58,104228,6936
"75",2020-04-15,15683,842,544,35,97292,7394
"76",2020-04-14,14841,653,509,47,89898,4887
"77",2020-04-13,14188,661,462,42,85011,3498
"78",2020-04-12,13527,422,420,37,81513,1172
"79",2020-04-11,13105,465,383,30,80341,3133
"80",2020-04-10,12640,573,353,30,77208,6021
"81",2020-04-09,12067,581,323,35,71187,5679
"82",2020-04-08,11486,602,288,39,65508,4199
"83",2020-04-07,10884,702,249,26,61309,3462
"84",2020-04-06,10182,519,223,17,57847,2753
"85",2020-04-05,9663,585,206,23,55094,1528
"86",2020-04-04,9078,590,183,21,53566,2619
"87",2020-04-03,8488,791,162,26,50947,4790
"88",2020-04-02,7697,607,136,22,46157,4240
"89",2020-04-01,7090,615,114,19,41917,4272
"90",2020-03-31,6475,637,95,16,37645,3900
"91",2020-03-30,5838,608,79,11,33745,3743
"92",2020-03-29,5230,367,68,15,30002,1071
"93",2020-03-28,4863,387,53,8,28931,2604
"94",2020-03-27,4476,365,45,9,26327,3151
"95",2020-03-26,4111,369,36,4,23176,2708
"96",2020-03-25,3742,432,32,7,20468,2642
"97",2020-03-24,3310,278,25,3,17826,2445
"98",2020-03-23,3032,281,22,7,15381,2218
"99",2020-03-22,2751,246,15,4,13163,731
"100",2020-03-21,2505,189,11,3,12432,844
"101",2020-03-20,2316,245,8,3,11588,1897
"102",2020-03-19,2071,213,5,4,9691,1764
"103",2020-03-18,1858,181,1,0,7927,1641
"104",2020-03-17,1677,204,1,0,6286,1747
"105",2020-03-16,1473,218,1,0,4539,1414
"106",2020-03-15,1255,166,1,0,3125,513
"107",2020-03-14,1089,143,1,0,2612,473
"108",2020-03-13,946,148,1,0,2139,770
"109",2020-03-12,798,156,1,0,1369,652
"110",2020-03-11,642,131,1,0,717,259
"111",2020-03-10,511,94,1,1,458,126
